品类,品牌,产品,规格,爆款香型,天猫挂价,天猫单ml,配赠,天猫销量原始,达播价,抖音单ml,配赠.1,配赠（可带上机制主图）,抖音销量原始,功效词,一句话卖点,详情页宣传（截图）,小红书用户评价,包装图文件名
洁面,马林戈茨,西柚洁面啫喱,236ml,西柚,"原价：¥330
优惠后：¥185.87","原价单ml：¥1.40 /ml 
优惠价单ml：¥0.79 /ml","店铺活动满400赠价值118礼包
店铺活动满800赠价值171护手霜",300+,/,/,/,/,29,清洁、卸妆、保湿、温和不紧绷、氨基酸洁面,"""氨基酸温和洁面"" —— 专为追求温和清洁的用户设计，解决过度清洁导致的肌肤紧绷与敏感问题，实现净澈柔和的洗卸护三合一功效，洗后水润不紧绷。",,"氨基酸配方，洗后不紧绷不拔干，淡淡西柚清香被形容为""都市仪式感""，敏感肌也能日用。差评集中在：泡沫偏少不解压；清洁力中等，卸防晒勉强、卸妆完全不行需要再卸；少数人吐槽闻起来像原料味不像水果；¥186/236ml单价偏高，性价比一般，不少人会选小样尝试。",
洁面,科颜氏,金盏花洗面奶,230ml,/,"原价：¥340
优惠后：¥276.47","原价单ml：¥1.48 /ml 
优惠价单ml：¥1.20 /ml",买230ml赠30ml*6,30万+,340,¥1.48 /ml,"买230ml到手共410ml
赠金盏花洁面30ml*6",,1.6万,清洁、平衡水油、舒缓、温和不刺激、氨基酸洁面,"""肌肤清火「凉茶」式洁面"" —— 专为中性及易敏感肌肤设计，解决洁面后水油失衡与肌肤敏感不适问题，通过温和洁净力平衡肌肤状态，洗后清爽舒缓不紧绷。",,"高赞笔记里是混油皮、痘肌""红榜常客""，啫喱加水起绵密泡，金盏花和洋甘菊带来舒缓感，洗后不紧绷、能稳定闭口。差评：干皮和屏障受损人群反映清洁力偏强，连用易紧绷；必须先加水乳化否则容易闷痘；30ml中样按日用只能撑半个月，正装价格学生党喊贵；不少人强调它不是祛痘神器。",
洁面,科颜氏,小奶泡洗面奶,"150ml/
75ml",/,"150ml原价：¥240 / 
优惠后：¥198.47

75ml原价：¥130 / 
优惠后：¥128","150ml原价单ml：¥1.60 /ml 优惠价单ml：¥1.32 /ml 

75ml原价单ml：¥1.73 /ml 
优惠价单ml：¥1.71 /ml","买150赠高保湿三件套：小奶泡沫洁面30ml+高保湿水40ml+高保湿霜14ml

买75赠高保湿霜14ml",20万+,"75ml：¥119
150ml：¥240","75ml：¥1.59/ml
150ml：¥1.6/ml","75ml：买即赠高保湿面霜14ml*1
150ml：买即赠3件保湿礼 小奶泡洁面 30ml*1+高保湿水40ml*1+高保湿面霜14ml*1",,"75ml：2万
150ml：7828",清洁、保湿、卸妆（底妆/防晒）、温和不刺激、修护屏障,"""专研起泡科技洗得干净不绷脸"" —— 专为追求洁净与保湿平衡的肤质设计，解决传统洁面后紧绷、干燥不适的问题，通过绵密泡沫实现深层清洁与卸妆，同时维稳修护肌肤屏障，带来洗后即刻水润不紧绷的洁面体验。",,"精华质感泡沫绵密像云朵，被夸温和到孕妇敏感肌可用，洗后水润不紧绷，主打""清洁+卸淡妆+养肤三合一""，对矿物油防晒和硅基底妆有一定卸除力。差评相对少：泡沫需揉搓或借助起泡网才够丰盈；清洁力对油皮和重防晒党偏弱，仍建议二次清洁；¥198/150ml折算单价不低，部分人觉得只是温和款没有惊艳点。",洁面_4_a6efa2bc72.jpg
洁面,科颜氏,高保湿洗面奶,150ml,/,"原价：¥240
优惠后：¥198.47","原价单 ml：¥1.6 /ml
优惠价单 ml：¥1.323 /ml",买150ml赠30ml*4,10万+,/,/,/,/,6878,清洁、保湿、控油、温和不刺激、舒缓,"""混油皮的保湿洁面之选"" —— 专为混油皮设计，解决深层洁净与清爽控油需求，同时兼顾保湿功效，洗后不紧绷，实现水油平衡。",,"Q弹啫喱、无酒精无皂基，干敏皮高赞""洗完像敷了补水面膜""，混油换季也不拔干，150ml能用约三个月被认为耐用。槽点比较克制：泡沫不丰富、爱搓泡的用户得配起泡网；不能卸浓妆需另备卸妆；少数油皮夏天觉得清爽度一般、洗后偏润；和金盏花相比清洁力弱，重防晒日依旧建议二次清洁。",洁面_5_663b442eaf.jpg
洁面,科颜氏,男士焕活净爽洁面啫喱,250ml,薄荷劲爽香调,"原价：¥290
优惠后：¥248.47","原价单ml：¥1.16 /ml
优惠价单ml：¥0.99 /ml","买250ml赠30ml*5

或30ml*1+爽肤水40ml+保湿乳15ml",10万+,290,¥1.16 /ml,"买1赠3件礼
男士保湿乳15ml*1+男士洁面30ml*1+男士爽肤水40ml*1",,8428,清洁毛孔、控油、保湿、舒缓、提亮、醒肤,"""薄荷劲爽醒肤洁面"" —— 专为男士设计，解决面部油腻、黑头、干燥等肌肤问题，深层清洁油脂污垢唤醒肌肤活力，洗后水润不紧绷，带来清爽醒肤体验。",,"薄荷+咖啡因+柑橘提取，男生评价集中在""凉感提神、夏天油田救星""，能打出细腻泡、剃须前用更顺滑。差评点：含香精，对香精/薄荷醇敏感人群会刺痛、泛红；眼周容易感到清凉刺激；¥248/250ml价格被认为偏高，市面有更多平价替代；干皮和换季用反映清洁后偏紧绷，不太适合非油皮男士全年使用。",洁面_6_fd1d39acc4.jpg
洁面,朗仕,"多功能洗面奶
（干皮/混油）","100ml 多功能洁面

100ml氨基酸洁面

200ml 多功能洁面大支装",/,"原价：¥240 (100ml）

原价：¥390 (200ml)","100单ml：¥2.40 /ml 

200单ml：¥1.95 /ml",赠多功能洁面30ml*3,30万+,¥109 (100ml）,¥1.09 /ml,无,无,51,深层清洁、去黑头、温和洁净、保湿、不紧绷、软化胡须,"""男士多效合一洗护方案"" —— 专为男士不同肤质设计，解决面部清洁、黑头顽固及胡须粗糙等多重问题，实现深层净澈与温和保湿的平衡，洗后清爽舒爽不紧绷。",,"雅诗兰黛集团男士线，主打""洁面+磨砂+控油""多合一，含磨砂柔珠+水杨酸衍生物+活性炭，对油皮、黑头、毛孔粗大评价最高，洗后清爽不紧绷。差评集中：定价240元/100ml偏贵被认为""男士税""；磨砂颗粒对干皮、敏感肌过度清洁，建议每周用1-2次而非每天；不算""通用洁面""，肤质不匹配会越洗越干。",洁面_7_e8086999e5.jpg
洁面,朗仕,洗面奶（油皮）,125ml,/,"原价：¥200
优惠后：¥183.47","原价单ml：¥1.60 /ml 
优惠价单ml：¥1.47 /ml",赠控油洁面30ml*2+控油泥膜1.5ml,7万+,/,/,/,/,6,控油、深层清洁、疏通毛孔、去黑头、温和洁净、不紧绷,"""靶向控油净澈毛孔"" —— 专为油性肌肤设计，解决因雄激素导致的油脂过量分泌、毛孔粗大及黑头闭口问题，通过源头抑制产油信号实现根源控油，洗后清爽净爽且不紧绷。",,"毛孔净澈洁面啫喱，啫喱质地起泡丰富、薄荷凉感明显，含水杨酸衍生物针对油皮和黑头，洗后清爽不拔干、延缓出油时间被广泛点赞，被推为油皮男生入门款。差评：清洁力对干皮/敏感肌过强容易刺激；薄荷凉感部分人觉得""冲鼻不舒服""；价格仍属男士护肤偏高档位，相比开架氨基酸洁面性价比一般。",洁面_8_5ed8a85494.jpg
洁面,海洋至尊,三棱镜洗面奶2.0,150g,/,"原价：¥119.9
 优惠后：¥59.9","原价单ml：¥0.8 /ml 
优惠价单ml：¥0.39 /ml",赠面露20g+多效乳15g+洗发水60g+沐浴露(木质香)60g+喷雾30ml,100万+,59.9,¥0.39 /ml,无,,184万,控油、祛痘、修护屏障、深层清洁、温和洁净、去黑头,"专研噬油控油祛痘"" —— 专为男士油痘肌设计，解决出油多、痘痘反复及毛孔堵塞问题，通过自研噬油能量元实现根源控油与净澈毛孔，兼顾温和清洁与屏障修护，洗后清爽不紧绷。",,"被博主称作2025男士洁面""黑马""，欧豪同款标签加持，43%氨基酸表活+双重水杨酸+乳糖酸，泡沫绵密、控油去黑头反馈不错、清爽不假滑，价格只要¥59.9性价比相当能打。负面：含水杨酸+薄荷清凉感，敏感肌、屏障受损或干皮长期用容易拔干刺痛；部分用户反馈对顽固黑头、囊肿型痘痘几乎没用，更适合日常清洁辅助而非治痘。",洁面_9_69b7ffc7f0.jpg
洁面,海洋至尊,美白淡斑洁面,120g,高层次海洋香,"原价：¥132.9
优惠后：¥59.72","原价单g：¥1.11 /g
优惠价单g：¥0.50 /g",入会5件礼,20万+,/,/,/,/,/,美白、祛斑、控油、深层清洁、卸妆、保湿、修护屏障,"持证专研祛斑美白"" —— 专为男士暗沉黄黑皮设计，解决因黑色素沉积导致的肤色不均及色斑问题，通过全链路断黑科技实现深层清洁与根源亮白，兼顾控油保湿与温和卸妆，洗后清爽不紧绷。",,"好评集中在氨基酸配方温和、泡沫绵密、洗后不紧绷，多人反馈持续使用2-3周肤色有提亮感，对暗沉有一定改善；男生当成日常洁面也好用。差评/争议点：主要靠表面清洁带来的""提亮""，淡斑功效几乎被吐槽是噱头，干皮长期用可能干燥紧绷，部分用户出现过敏反应，被认为虚假宣传。",洁面_10_f69c1b0a0c.jpg
洁面,海洋至尊,冰沙洁面2.0,150g,/,"原价：¥119.9
优惠后：¥59.9","原价单ml：¥0.8 /ml 
优惠价单ml：¥0.39 /ml",入会5件礼,10万+,59.9,¥0.39 /ml,无,,8.8万,控油、清洁、保湿、舒缓、嫩肤、去角质,"""男士专研8小时长效控油"" —— 专为男性易出油缺水肌肤设计，解决因水油失衡导致的满面油光及粗糙问题，通过立体控油体系与冰沙微珠技术实现深层洁净与8小时持久清爽，兼顾温和去角质与保湿舒缓，洗后冰凉不紧绷。",,高互动笔记普遍认可控油力，实测前4小时哑光、8小时才微出油，冰沙质地清凉感强，43%氨基酸0皂基不紧绷，油皮男生回购率高。差评点：清洁力对干皮过强，冬天用易拔干；水杨酸+乳糖酸对敏感肌可能刺痛，部分人觉得60元价位偏贵。,洁面_11_8b15e7d0de.jpg
